asset	publication_replay	scientific_recomputation	repository_evidence	external_or_restricted_requirement	boundary
Figure 1	exact_sha256	author_or_supplement_input_required	Approved composition intermediates; 12-rule renderer; Figure 1 assembly script	Publication Additional file 1 can verify 390 prescriptions and 12 rules; exact historical SPSS/network upstream is not redistributed	Publication appearance is replayable; not a self-contained SPSS rerun
Figure 2	exact_sha256	external_public_input_required	Approved pre-alignment figure; WGCNA and typography scripts	GSE247531 CD34 counts plus reviewed participant/timepoint staging	Publication appearance is replayable; full WGCNA rerun needs staged GEO inputs
Figure 3	pixel_tolerance	derived_source_tables_packaged	Four frozen bone-marrow source tables and canonical renderer	Full RPCA reconstruction requires GSE247531 bone-marrow input	Panel values are self-contained; raw-atlas rebuild is external
Figure 4	exact_sha256	author_or_licensed_input_required	Approved pre-spacer figure; deterministic final layout script; priority-level derived CSV	Localization/bioactivity source databases and archived analytical inputs	Publication appearance is replayable; licensed upstream data are excluded
Figure 5	exact_sha256	author_or_licensed_input_required	Approved pre-alignment figure; panel node/edge tables; deterministic final layout script	Licensed compound-target sources and accepted Cytoscape upstream session	Publication appearance is replayable; network rebuild is conditional
Figure 6	exact_sha256	author_prepared_input_required	Approved pre-alignment figure; Vina matrix runner; deterministic final layout script	Prepared receptors/ligands and pose/interaction visualization projects	Publication appearance is replayable; prepared structural assets are excluded
Figure 7	pixel_tolerance	derived_source_tables_packaged	Five-system 100 ns summary table and final renderer	Raw trajectories/topologies are intentionally excluded	All 500 ns derived descriptors are rerenderable; raw MD is not rerun by the capsule
Figure 8	exact_sha256	derived_source_tables_packaged	Formal 210-run summaries and R renderer	Full scTenifoldKnk network rerun requires staged GSE247531 counts and recorded R packages	Reported panels are self-contained from frozen derived tables
Figure 9	exact_sha256	model_inference_external	Geneformer derived tables; v6 renderer; v7 RGB conversion	Official Geneformer source/dictionaries/model weights and reviewed GEO design staging	Reported panels are self-contained; model inference requires upstream assets
Figures S1-S7	accepted_page_package	external_or_author_input_required	Eight accepted one-page PDFs and packaging workflow	Legacy analytical inputs vary by panel	Final package is replayable; not every upstream analysis is self-contained
Figure S8	pixel_tolerance	derived_source_tables_packaged	Matched-control source tables and R renderer	Full network rerun requires staged GSE247531 counts	Reported sensitivity panel is self-contained from frozen derived tables
Figure S9	exact_sha256	model_inference_external	Geneformer derived tables and v6/v7 renderer	Official Geneformer assets for inference	Reported panel is self-contained; inference is external
Figure S10	exact_sha256	model_inference_external	Geneformer extension tables and v6/v7 renderer	Official Geneformer assets and public GEO cohorts for full inference	Reported panel is self-contained; inference is external
Tables 1-2	verified_against_submission	mixed	Main analyses and frozen supplementary data tables	Editable submission table files are publication outputs, not analytical inputs	Values must be checked against the manuscript and supplementary workbooks
Tables S1-S6	verified_external_supplement	mixed	Scripts for prescription, candidate harmonization, priority and sensitivity analyses	Publication Additional file 1; restricted source exports are not copied to GitHub	Supplementary workbook is the publication data record; restricted raw exports remain external
Table S7	verified_external_supplement	author_prepared_input_required	Vina runner and published 138-run result workbook	Prepared docking structures are excluded	All reported docking results are tabulated; structural rerun is conditional
Table S8	verified_external_supplement	derived_source_tables_packaged	Formal 210-run summaries, validation and calibration scripts	Full scTenifoldKnk rerun needs staged public counts	Reported results are inspectable and figure-ready
Table S9	verified_external_supplement	documentation	Search specification and repository code	Database access may require institutional subscriptions	Search strategy is documented; search-result exports are not redistributed
Table S10	verified_external_supplement	model_inference_external	Geneformer result tables, audits and extension builders	Official model/source and reviewed design staging	Complete positive, weak, null and stress-test results are retained in the supplement
