table_order	table	source_table_from_prior_package	current_bmc_filename	content	verification_scope
1	Supplementary Table S1	Table S10	Additional_file_1_Supplementary_Table_S1.xlsx	Database-specific search concepts, eligibility criteria and manual prescription-curation framework	Renumbered to satisfy strict first-citation order; v18 package mapping; workbook unchanged from v17, checksum in BMC asset inventory
2	Supplementary Table S2	Table S1	Additional_file_2_Supplementary_Tables_S2-S7.xlsx	Included prescription records and closed association-rule denominators	Renumbered to satisfy strict first-citation order; v18 package mapping; workbook unchanged from v17, checksum in BMC asset inventory
3	Supplementary Table S3	Table S2	Additional_file_2_Supplementary_Tables_S2-S7.xlsx	Herb-name standardization, dosage parsing and mapping evidence	Renumbered to satisfy strict first-citation order; v18 package mapping; workbook unchanged from v17, checksum in BMC asset inventory
4	Supplementary Table S4	Table S3	Additional_file_2_Supplementary_Tables_S2-S7.xlsx	Prescription frequency, co-occurrence, clustering and association-rule outputs	Renumbered to satisfy strict first-citation order; v18 package mapping; workbook unchanged from v17, checksum in BMC asset inventory
5	Supplementary Table S5	Table S4	Additional_file_2_Supplementary_Tables_S2-S7.xlsx	TCMSP compounds, SwissTargetPrediction rows, provenance layers, AA resource genes and the 126-candidate pool	Renumbered to satisfy strict first-citation order; v18 package mapping; workbook unchanged from v17, checksum in BMC asset inventory
6	Supplementary Table S6	Table S5	Additional_file_2_Supplementary_Tables_S2-S7.xlsx	Predefined 30-candidate order, evidence components and Top30 sensitivity	Renumbered to satisfy strict first-citation order; v18 package mapping; workbook unchanged from v17, checksum in BMC asset inventory
7	Supplementary Table S7	Table S6	Additional_file_2_Supplementary_Tables_S2-S7.xlsx	Localization, druggability and subject-aware CD34+ HSPC WGCNA annotations	Renumbered to satisfy strict first-citation order; v18 package mapping; workbook unchanged from v17, checksum in BMC asset inventory
8	Supplementary Table S8	Table S7	Additional_file_3_Supplementary_Table_S8.xlsx	Donor recovery, Geneformer perturbation, matched-background calibration, external sensitivity and stability outputs	Renumbered to satisfy strict first-citation order; v18 package mapping; workbook unchanged from v17, checksum in BMC asset inventory
9	Supplementary Table S9	Table S8	Additional_file_4_Supplementary_Table_S9.xlsx	scTenifoldKnk perturbation and matched-control sensitivity outputs	Renumbered to satisfy strict first-citation order; v18 package mapping; workbook unchanged from v17, checksum in BMC asset inventory
10	Supplementary Table S10	Table S9	Additional_file_9_Supplementary_Table_S10.xlsx	Complete docking score matrix, ligand identifiers and pose-level outputs	Renumbered to satisfy strict first-citation order; v18 package mapping; workbook unchanged from v17, checksum in BMC asset inventory
