id,source,target,panel,interaction,edge_type,evidence_level,overlap_count,overlap_genes,contrast,logFC,p_value,bh_by_contrast,provenance,evidence_boundary
A_HC_001,A_HERB_tusizi,A_CMP_MOL001558,A,resource-reported constituent,A_Herb-compound,resource membership,,,,,,,"Legacy resource table, relation retained exactly.","Membership only; not activity, efficacy, or causality."
A_HC_002,A_HERB_tusizi,A_CMP_MOL000184,A,resource-reported constituent,A_Herb-compound,resource membership,,,,,,,"Legacy resource table, relation retained exactly.","Membership only; not activity, efficacy, or causality."
A_HC_003,A_HERB_tusizi,A_CMP_MOL000354,A,resource-reported constituent,A_Herb-compound,resource membership,,,,,,,"Legacy resource table, relation retained exactly.","Membership only; not activity, efficacy, or causality."
A_HC_004,A_HERB_tusizi,A_CMP_MOL000358,A,resource-reported constituent,A_Herb-compound,resource membership,,,,,,,"Legacy resource table, relation retained exactly.","Membership only; not activity, efficacy, or causality."
A_HC_005,A_HERB_tusizi,A_CMP_MOL000422,A,resource-reported constituent,A_Herb-compound,resource membership,,,,,,,"Legacy resource table, relation retained exactly.","Membership only; not activity, efficacy, or causality."
A_HC_006,A_HERB_tusizi,A_CMP_MOL005043,A,resource-reported constituent,A_Herb-compound,resource membership,,,,,,,"Legacy resource table, relation retained exactly.","Membership only; not activity, efficacy, or causality."
A_HC_007,A_HERB_tusizi,A_CMP_MOL005440,A,resource-reported constituent,A_Herb-compound,resource membership,,,,,,,"Legacy resource table, relation retained exactly.","Membership only; not activity, efficacy, or causality."
A_HC_008,A_HERB_tusizi,A_CMP_MOL000953,A,resource-reported constituent,A_Herb-compound,resource membership,,,,,,,"Legacy resource table, relation retained exactly.","Membership only; not activity, efficacy, or causality."
A_HC_009,A_HERB_tusizi,A_CMP_MOL000098,A,resource-reported constituent,A_Herb-compound,resource membership,,,,,,,"Legacy resource table, relation retained exactly.","Membership only; not activity, efficacy, or causality."
A_HC_010,A_HERB_nvzhenzi,A_CMP_MOL005195,A,resource-reported constituent,A_Herb-compound,resource membership,,,,,,,"Legacy resource table, relation retained exactly.","Membership only; not activity, efficacy, or causality."
A_HC_011,A_HERB_nvzhenzi,A_CMP_MOL000006,A,resource-reported constituent,A_Herb-compound,resource membership,,,,,,,"Legacy resource table, relation retained exactly.","Membership only; not activity, efficacy, or causality."
A_HC_012,A_HERB_nvzhenzi,A_CMP_MOL000098,A,resource-reported constituent,A_Herb-compound,resource membership,,,,,,,"Legacy resource table, relation retained exactly.","Membership only; not activity, efficacy, or causality."
A_HC_013,A_HERB_nvzhenzi,A_CMP_MOL000358,A,resource-reported constituent,A_Herb-compound,resource membership,,,,,,,"Legacy resource table, relation retained exactly.","Membership only; not activity, efficacy, or causality."
A_HC_014,A_HERB_nvzhenzi,A_CMP_MOL000422,A,resource-reported constituent,A_Herb-compound,resource membership,,,,,,,"Legacy resource table, relation retained exactly.","Membership only; not activity, efficacy, or causality."
A_HC_015,A_HERB_mohanlian,A_CMP_MOL001790,A,resource-reported constituent,A_Herb-compound,resource membership,,,,,,,"Legacy resource table, relation retained exactly.","Membership only; not activity, efficacy, or causality."
